,open,high,low,close,adj close,volume
2020-09-22,0.85,7.0,0.85,5.3193,5.3193,31441883.0
2020-09-23,5.3279,5.36,3.4,3.535,3.535,12620608.0
2020-09-24,3.5305,4.8873,3.4033,4.6411,4.6411,7107843.0
2020-09-25,4.6366,5.0234,4.2001,4.7134,4.7134,3886096.0
2020-09-26,4.7164,4.82,4.3294,4.52,4.52,1814932.0
2020-09-27,4.5214,4.7134,4.1068,4.6484,4.6484,1500134.0
2020-09-28,4.6485,4.705,4.1667,4.2021,4.2021,1210446.0
2020-09-29,4.1999,4.2899,3.9607,4.1394,4.1394,1057878.0
2020-09-30,4.1429,4.411,3.9958,4.3293,4.3293,915518.0
2020-10-01,4.3293,4.53,4.014,4.15,4.15,1477288.0
2020-10-02,4.1422,4.2198,3.6332,3.9115,3.9115,1847614.0
2020-10-03,3.9156,4.19,3.8696,4.0168,4.0168,679798.0
2020-10-04,4.0202,4.0798,3.8334,3.964,3.964,630849.0
2020-10-05,3.9582,4.0456,3.87,3.9813,3.9813,475912.0
2020-10-06,3.9949,4.0,3.5,3.5424,3.5424,971155.0
2020-10-07,3.5401,3.5462,3.207,3.442,3.442,988661.0
2020-10-08,3.4409,3.9599,3.3228,3.9147,3.9147,900977.0
2020-10-09,3.9147,4.3252,3.8034,4.2491,4.2491,573063.0
2020-10-10,4.2427,4.2693,4.0001,4.023,4.023,821315.0
2020-10-11,4.0205,4.1762,3.9333,4.096,4.096,542437.0
2020-10-12,4.0841,4.71,4.054,4.41,4.41,851811.0
2020-10-13,4.4099,4.5636,4.3203,4.4806,4.4806,776819.0
2020-10-14,4.4808,4.4848,4.0125,4.1596,4.1596,512479.0
2020-10-15,4.15,4.2312,3.9985,4.1269,4.1269,306544.0
2020-10-16,4.1266,4.1582,3.8755,4.0433,4.0433,538055.0
2020-10-17,4.0462,4.21,3.9673,4.1946,4.1946,258634.0
2020-10-18,4.1874,4.2461,4.0701,4.1195,4.1195,138296.0
2020-10-19,4.1371,4.1748,3.9926,4.05,4.05,274925.0
2020-10-20,4.0568,4.0908,3.6925,3.804,3.804,589447.0
2020-10-21,3.8007,4.103,3.7918,3.9585,3.9585,319446.0
2020-10-22,3.9574,4.4904,3.9511,4.3385,4.3385,741499.0
2020-10-23,4.3406,4.4872,4.1354,4.2568,4.2568,324892.0
2020-10-24,4.2539,4.362,4.14,4.1821,4.1821,218601.0
2020-10-25,4.1803,4.2526,4.1,4.1479,4.1479,209663.0
2020-10-26,4.1409,4.4897,4.0141,4.148,4.148,661155.0
2020-10-27,4.1454,4.35,4.0343,4.1217,4.1217,292754.0
2020-10-28,4.1214,4.1792,3.9308,4.0596,4.0596,359147.0
2020-10-29,4.0607,4.1051,3.7296,3.7758,3.7758,422589.0
2020-10-30,3.7744,3.8226,3.5781,3.7224,3.7224,850092.0
2020-10-31,3.7116,3.7612,3.5876,3.6456,3.6456,346114.0
2020-11-01,3.6355,3.7142,3.5521,3.6814,3.6814,295468.0
2020-11-02,3.6851,3.8775,3.6145,3.617,3.617,322604.0
2020-11-03,3.6174,3.6513,3.2368,3.323,3.323,664899.0
2020-11-04,3.3299,3.3759,3.0,3.1718,3.1718,466205.0
2020-11-05,3.1736,3.3841,3.0211,3.3348,3.3348,644688.0
2020-11-06,3.335,3.6666,3.3194,3.5913,3.5913,910038.0
2020-11-07,3.594,3.9193,3.37,3.4126,3.4126,832528.0
2020-11-08,3.4093,3.67,3.3613,3.4754,3.4754,543130.0
2020-11-09,3.4674,3.5399,3.2619,3.4125,3.4125,534923.0
2020-11-10,3.421,3.63,3.369,3.5713,3.5713,482731.0
2020-11-11,3.5775,3.82,3.46,3.4842,3.4842,389355.0
2020-11-12,3.4918,3.5691,3.32,3.4243,3.4243,314355.0
2020-11-13,3.4268,3.7018,3.3911,3.6745,3.6745,585394.0
2020-11-14,3.6779,3.7042,3.396,3.4894,3.4894,443020.0
2020-11-15,3.484,3.6415,3.4101,3.5453,3.5453,438362.0
2020-11-16,3.5348,3.82,3.455,3.7,3.7,658000.0
2020-11-17,3.7062,3.9333,3.6881,3.8355,3.8355,490826.0
2020-11-18,3.8476,3.8739,3.55,3.7445,3.7445,531913.0
2020-11-19,3.7498,3.8272,3.5563,3.6399,3.6399,386309.0
2020-11-20,3.6432,4.0111,3.6224,3.715,3.715,657029.0
2020-11-21,3.7124,4.0983,3.67,4.0281,4.0281,557225.0
2020-11-22,4.0291,4.0602,3.71,3.8892,3.8892,562448.0
2020-11-23,3.9066,4.2575,3.8519,4.0747,4.0747,611842.0
2020-11-24,4.0748,4.3334,3.865,4.26,4.26,855854.0
2020-11-25,4.26,4.3989,3.9001,4.0453,4.0453,763623.0
2020-11-26,4.0363,4.089,3.28,3.5447,3.5447,1011308.0
2020-11-27,3.5399,3.7581,3.4178,3.5942,3.5942,382067.0
2020-11-28,3.5903,3.6998,3.4752,3.6271,3.6271,256600.0
2020-11-29,3.6299,3.7662,3.531,3.7013,3.7013,222772.0
2020-11-30,3.7124,3.82,3.6418,3.7024,3.7024,266744.0
2020-12-01,3.7044,3.8128,3.4501,3.5543,3.5543,453003.0
2020-12-02,3.55,3.8458,3.5059,3.74,3.74,255368.0
2020-12-03,3.7384,3.8966,3.7103,3.8123,3.8123,217818.0
2020-12-04,3.8076,3.86,3.5091,3.5348,3.5348,306354.0
2020-12-05,3.5337,3.7182,3.5059,3.6382,3.6382,176697.0
2020-12-06,3.6384,3.6733,3.5077,3.6055,3.6055,198916.0
2020-12-07,3.6036,3.6096,3.3,3.3895,3.3895,319608.0
2020-12-08,3.3896,3.3948,3.085,3.1172,3.1172,947986.0
2020-12-09,3.1185,3.4411,2.8001,3.2652,3.2652,1491988.0
2020-12-10,3.2644,3.3583,3.0643,3.1499,3.1499,1121704.0
2020-12-11,3.1482,3.307,3.0131,3.2375,3.2375,740274.0
2020-12-12,3.232,3.45,3.2318,3.3332,3.3332,695480.0
2020-12-13,3.3409,3.4173,3.2806,3.3405,3.3405,598125.0
2020-12-14,3.3401,3.3424,3.1357,3.1433,3.1433,1041542.0
2020-12-15,3.1439,3.5441,3.06,3.3014,3.3014,899508.0
2020-12-16,3.3012,3.3844,3.1451,3.3409,3.3409,660892.0
2020-12-17,3.3444,3.3823,3.1761,3.2079,3.2079,634136.0
2020-12-18,3.2068,3.4737,3.1424,3.4081,3.4081,642895.0
2020-12-19,3.4081,3.6076,3.3783,3.4651,3.4651,506114.0
2020-12-20,3.458,3.498,3.2755,3.304,3.304,415890.0
2020-12-21,3.3041,3.3564,2.925,3.0892,3.0892,827256.0
2020-12-22,3.0922,3.1331,2.9198,3.0761,3.0761,488812.0
2020-12-23,3.0705,3.6937,2.7501,2.9465,2.9465,2874448.0
2020-12-24,2.9525,3.1153,2.7679,3.1006,3.1006,910977.0
2020-12-25,3.1171,3.1301,2.84,2.9517,2.9517,870245.0
2020-12-26,2.9497,2.9975,2.85,2.9178,2.9178,475916.0
2020-12-27,2.9223,3.0759,2.8401,2.9026,2.9026,566733.0
2020-12-28,2.9168,3.0496,2.8685,2.9577,2.9577,932674.0
2020-12-29,2.9609,3.01,2.8322,2.9248,2.9248,831346.0
2020-12-30,2.925,2.94,2.8327,2.9162,2.9162,443153.0
2020-12-31,2.9166,3.2997,2.78,3.1859,3.1859,861034.0
2021-01-01,3.1859,3.86,3.0178,3.6497,3.6497,3817118.0
2021-01-02,3.6544,3.939,3.2851,3.4956,3.4956,1768205.0
2021-01-03,3.5005,3.83,3.3916,3.4691,3.4691,989465.0
2021-01-04,3.477,3.83,3.2283,3.5999,3.5999,1242545.0
2021-01-05,3.5999,4.3556,3.4703,4.2501,4.2501,2403396.0
2021-01-06,4.2502,4.9773,4.1361,4.5788,4.5788,2925158.0
2021-01-07,4.5803,4.8205,4.1827,4.4707,4.4707,1471492.0
2021-01-08,4.4728,5.9,4.0,5.7,5.7,3037659.0
2021-01-09,5.6999,7.487,5.5761,7.1877,7.1877,4060100.0
2021-01-10,7.2115,7.4969,6.15,6.5416,6.5416,1865913.0
2021-01-11,6.541,7.0,5.72,6.4713,6.4713,2065598.0
2021-01-12,6.4623,8.2356,6.4198,7.72,7.72,3138438.0
2021-01-13,7.7254,8.5,7.1356,8.4695,8.4695,1712008.0
2021-01-14,8.4693,9.6004,8.21,9.3177,9.3177,2550051.0
2021-01-15,9.3192,9.89,8.57,9.3794,9.3794,1991192.0
2021-01-16,9.3795,13.4991,9.1629,12.8421,12.8421,3898717.0
2021-01-17,12.8222,14.69,12.3231,13.1746,13.1746,3568856.0
2021-01-18,13.1748,13.858,12.5737,12.7035,12.7035,1317372.0
2021-01-19,12.6825,14.0,11.3433,11.7367,11.7367,1846921.0
2021-01-20,11.7346,13.0765,11.03,12.3768,12.3768,1515429.0
2021-01-21,12.3768,13.0147,11.0659,11.3225,11.3225,1717139.0
2021-01-22,11.3329,13.3899,10.673,12.7097,12.7097,2250602.0
2021-01-23,12.7153,13.48,12.5059,12.8669,12.8669,1224349.0
2021-01-24,12.8914,13.1725,12.2,12.4801,12.4801,907179.0
2021-01-25,12.4801,12.95,12.0598,12.1816,12.1816,613873.0
2021-01-26,12.1816,12.7333,11.3804,12.2088,12.2088,873414.0
2021-01-27,12.178,12.215,10.77,11.158,11.158,740335.0
2021-01-28,11.1379,12.7524,10.8,11.9615,11.9615,1091962.0
