,open,high,low,close,adj close,volume
2021-04-24,35.2121,35.3033,31.0,31.2443,31.2443,6655452.0
2021-04-25,31.237,33.432,29.801,31.692,31.692,4590476.0
2021-04-26,31.69,35.275,31.363,35.13,35.13,6660309.0
2021-04-27,35.112,37.665,34.483,36.788,36.788,5463142.0
2021-04-28,36.786,37.808,34.901,36.233,36.233,5219076.0
2021-04-29,36.253,37.45,35.0,36.467,36.467,5148499.0
2021-04-30,36.465,38.79,35.827,38.1,38.1,5295313.0
2021-05-01,38.101,41.27,37.428,41.257,41.257,5227786.0
2021-05-02,41.249,41.46,38.69,39.461,39.461,5208051.0
2021-05-03,39.461,42.728,39.166,42.052,42.052,6029697.0
2021-05-04,42.06,48.54,38.634,45.527,45.527,19637684.0
2021-05-05,45.508,51.2,44.865,49.575,49.575,16873790.0
2021-05-06,49.576,49.9,45.343,47.154,47.154,9895004.0
2021-05-07,47.148,51.969,45.666,49.129,49.129,10599319.0
2021-05-08,49.134,50.265,46.5,48.597,48.597,5902382.0
2021-05-09,48.607,52.426,45.83,52.269,52.269,8601375.0
2021-05-10,52.277,53.0,40.7,46.334,46.334,11459163.0
2021-05-11,46.326,49.0,44.576,48.826,48.826,7532480.0
2021-05-12,48.805,49.836,40.914,41.622,41.622,8304570.0
2021-05-13,41.541,44.958,39.227,43.287,43.287,10978718.0
2021-05-14,43.273,47.875,42.935,46.567,46.567,6310269.0
2021-05-15,46.558,47.8,40.975,41.492,41.492,9858340.0
2021-05-16,41.512,44.901,37.944,40.67,40.67,9820375.0
2021-05-17,40.662,40.674,35.068,37.177,37.177,10672040.0
2021-05-18,37.176,44.69,36.655,42.566,42.566,11237931.0
2021-05-19,42.555,43.5,21.0,26.227,26.227,30087569.0
2021-05-20,26.227,33.05,22.35,30.606,30.606,20474453.0
2021-05-21,30.633,31.945,22.019,25.546,25.546,16394437.0
2021-05-22,25.548,26.2,22.225,23.296,23.296,13176375.0
2021-05-23,23.293,24.368,15.0,19.844,19.844,28838486.0
2021-05-24,19.849,26.431,19.677,26.412,26.412,18781247.0
2021-05-25,26.4,27.644,23.673,27.503,27.503,13594283.0
